Index,Start_Time,End_Time,Length,MOSI,MISO,Frequency,Error
1656,21.695143s,21.695163s,5,80 D4 00 18 00,00 00 00 01 84,1.5969 MHz,-
1657,21.695169s,21.695189s,5,00 D4 00 18 20,00 00 00 01 00,1.5595 MHz,-
1658,21.700195s,21.700216s,5,80 D4 00 18 00,00 00 00 01 94,1.5459 MHz,-
1659,21.700221s,21.700257s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,1.5718 MHz,-
1660,21.700262s,21.700328s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,1.5795 MHz,-
1661,21.705334s,21.705354s,5,80 D4 00 18 00,00 00 00 01 94,1.5671 MHz,-
1662,21.705360s,21.705395s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04,1.6033 MHz,-
1663,21.705401s,21.705461s,13,88 D4 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,1.6033 MHz,-
1664,21.705466s,21.705486s,5,00 D4 00 18 40,00 00 00 01 00,1.6017 MHz,-
1665,21.705492s,21.705512s,5,00 D4 00 00 20,00 00 00 01 00,1.6113 MHz,-
1666,21.705531s,21.705551s,5,80 D4 00 00 00,00 00 00 01 81,1.5656 MHz,-
1667,21.705557s,21.705577s,5,00 D4 00 00 02,00 00 00 01 00,1.5780 MHz,-
1668,21.705583s,21.705603s,5,80 D4 00 00 00,00 00 00 01 A1,1.5842 MHz,-
1669,21.705609s,21.705629s,5,80 D4 00 18 00,00 00 00 01 04,1.5489 MHz,-
1670,21.705635s,21.705655s,5,00 D4 00 18 40,00 00 00 01 00,1.5641 MHz,-
1671,21.710661s,21.710682s,5,80 D4 00 18 00,00 00 00 01 44,1.5921 MHz,-
1672,21.710687s,21.710723s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5937 MHz,-
1673,21.710729s,21.710855s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5780 MHz,-
1674,21.715861s,21.715882s,5,80 D4 00 18 00,00 00 00 01 84,1.5656 MHz,-
1675,21.720887s,21.720908s,5,80 D4 00 18 00,00 00 00 01 84,1.5795 MHz,-
1676,21.720913s,21.720934s,5,00 D4 00 18 20,00 00 00 01 00,1.5874 MHz,-
1677,21.725940s,21.725960s,5,80 D4 00 18 00,00 00 00 01 94,1.5826 MHz,-
1678,21.725966s,21.726002s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.5780 MHz,-
1679,21.726007s,21.726074s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.5764 MHz,-
1680,21.731080s,21.731100s,5,80 D4 00 18 00,00 00 00 01 94,1.5400 MHz,-
1681,21.731106s,21.731141s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,1.5764 MHz,-
1682,21.731147s,21.731269s,25,94 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.5445 MHz,-
1683,21.731275s,21.731296s,5,00 D4 00 18 40,00 00 00 01 00,1.5687 MHz,-
1684,21.731301s,21.731322s,5,00 D4 00 00 20,00 00 00 01 00,1.5718 MHz,-
1685,21.731328s,21.731348s,5,80 D4 00 00 00,00 00 00 01 81,1.5811 MHz,-
1686,21.731354s,21.731374s,5,00 D4 00 00 02,00 00 00 01 00,1.5985 MHz,-
1687,21.731380s,21.731401s,5,80 D4 00 00 00,00 00 00 01 A1,1.5519 MHz,-
1688,21.731406s,21.731427s,5,80 D4 00 18 00,00 00 00 01 04,1.5718 MHz,-
1689,21.731432s,21.731453s,5,00 D4 00 18 40,00 00 00 01 00,1.6344 MHz,-
1690,21.736459s,21.736479s,5,80 D4 00 18 00,00 00 00 01 44,1.5385 MHz,-
1691,21.736485s,21.736520s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5702 MHz,-
1692,21.736526s,21.736653s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5764 MHz,-
1693,21.741659s,21.741680s,5,80 D4 00 18 00,00 00 00 01 84,1.5312 MHz,-
1694,21.746686s,21.746706s,5,80 D4 00 18 00,00 00 00 01 84,1.5610 MHz,-
1695,21.746712s,21.746732s,5,00 D4 00 18 20,00 00 00 01 00,1.5795 MHz,-
1696,21.751738s,21.751758s,5,80 D4 00 18 00,00 00 00 01 94,1.5356 MHz,-
1697,21.751764s,21.751799s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.5702 MHz,-
1698,21.751805s,21.751871s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5565 MHz,-
1699,21.756877s,21.756898s,5,80 D4 00 18 00,00 00 00 01 94,1.5239 MHz,-
1700,21.756903s,21.756939s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04,1.5905 MHz,-
1701,21.756945s,21.757046s,21,90 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.5811 MHz,-
1702,21.757052s,21.757072s,5,00 D4 00 18 40,00 00 00 01 00,1.5874 MHz,-
1703,21.757078s,21.757098s,5,00 D4 00 00 20,00 00 00 01 00,1.5937 MHz,-
1704,21.757104s,21.757124s,5,80 D4 00 00 00,00 00 00 01 81,1.5874 MHz,-
1705,21.757130s,21.757150s,5,00 D4 00 00 02,00 00 00 01 00,1.5842 MHz,-
1706,21.757156s,21.757176s,5,80 D4 00 00 00,00 00 00 01 A1,1.5718 MHz,-
1707,21.757181s,21.757202s,5,80 D4 00 18 00,00 00 00 01 04,1.5550 MHz,-
1708,21.757207s,21.757228s,5,00 D4 00 18 40,00 00 00 01 00,1.5764 MHz,-
1709,21.762234s,21.762254s,5,80 D4 00 18 00,00 00 00 01 44,1.5282 MHz,-
1710,21.762260s,21.762295s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5687 MHz,-
1711,21.762301s,21.762583s,57,34 D4 00 24 80 02 00 00 00 35 00 00 01 82 00 00 00 01 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 04 98 F7 0B 50 8C B2 7E 6B C3 EC 05 DA AC 4C 64 EC E4 C3 63 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5489 MHz,-
1712,21.767589s,21.767610s,5,80 D4 00 18 00,00 00 00 01 84,1.5749 MHz,-
1713,21.772615s,21.772636s,5,80 D4 00 18 00,00 00 00 01 84,1.5459 MHz,-
1714,21.772642s,21.772662s,5,00 D4 00 18 20,00 00 00 01 00,1.5858 MHz,-
1715,21.777668s,21.777688s,5,80 D4 00 18 00,00 00 00 01 94,1.5702 MHz,-
1716,21.777694s,21.777729s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,1.6049 MHz,-
1717,21.777735s,21.777800s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,1.5921 MHz,-
1718,21.782806s,21.782826s,5,80 D4 00 18 00,00 00 00 01 94,1.5341 MHz,-
1719,21.782832s,21.782867s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04,1.5550 MHz,-
1720,21.782873s,21.782934s,13,88 D4 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,1.5625 MHz,-
1721,21.782939s,21.782960s,5,00 D4 00 18 40,00 00 00 01 00,1.5811 MHz,-
1722,21.782965s,21.782985s,5,00 D4 00 00 20,00 00 00 01 00,1.5504 MHz,-
1723,21.782991s,21.783012s,5,80 D4 00 00 00,00 00 00 01 81,1.5415 MHz,-
1724,21.783017s,21.783038s,5,00 D4 00 00 02,00 00 00 01 00,1.5969 MHz,-
1725,21.783044s,21.783064s,5,80 D4 00 00 00,00 00 00 01 A1,1.5858 MHz,-
1726,21.783069s,21.783090s,5,80 D4 00 18 00,00 00 00 01 04,1.5610 MHz,-
1727,21.783096s,21.783116s,5,00 D4 00 18 40,00 00 00 01 00,1.5811 MHz,-
1728,21.788122s,21.788142s,5,80 D4 00 18 00,00 00 00 01 44,1.5780 MHz,-
1729,21.788148s,21.788184s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5811 MHz,-
1730,21.788189s,21.788317s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5415 MHz,-
1731,21.793322s,21.793343s,5,80 D4 00 18 00,00 00 00 01 84,1.5341 MHz,-
1732,21.798349s,21.798369s,5,80 D4 00 18 00,00 00 00 01 84,1.5687 MHz,-
1733,21.798375s,21.798395s,5,00 D4 00 18 20,00 00 00 01 00,1.6162 MHz,-
1734,21.803401s,21.803421s,5,80 D4 00 18 00,00 00 00 01 94,1.5519 MHz,-
1735,21.803427s,21.803463s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.5795 MHz,-
1736,21.803468s,21.803535s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.5985 MHz,-
1737,21.808541s,21.808561s,5,80 D4 00 18 00,00 00 00 01 94,1.5445 MHz,-
1738,21.808567s,21.808603s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,1.5610 MHz,-
1739,21.808608s,21.808731s,25,94 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.5733 MHz,-
1740,21.808736s,21.808757s,5,00 D4 00 18 40,00 00 00 01 00,1.5489 MHz,-
1741,21.808762s,21.808783s,5,00 D4 00 00 20,00 00 00 01 00,1.5811 MHz,-
1742,21.808789s,21.808809s,5,80 D4 00 00 00,00 00 00 01 81,1.6195 MHz,-
1743,21.808815s,21.808836s,5,00 D4 00 00 02,00 00 00 01 00,1.5749 MHz,-
1744,21.808841s,21.808861s,5,80 D4 00 00 00,00 00 00 01 A1,1.5874 MHz,-
1745,21.808867s,21.808888s,5,80 D4 00 18 00,00 00 00 01 04,1.5445 MHz,-
1746,21.808894s,21.808914s,5,00 D4 00 18 40,00 00 00 01 00,1.5733 MHz,-
1747,21.813920s,21.813940s,5,80 D4 00 18 00,00 00 00 01 44,1.5459 MHz,-
1748,21.813946s,21.813982s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5858 MHz,-
1749,21.813987s,21.814114s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5858 MHz,-
1750,21.819120s,21.819141s,5,80 D4 00 18 00,00 00 00 01 84,1.5356 MHz,-
1751,21.824147s,21.824167s,5,80 D4 00 18 00,00 00 00 01 84,1.5504 MHz,-
1752,21.824173s,21.824193s,5,00 D4 00 18 20,00 00 00 01 00,1.5858 MHz,-
1753,21.829199s,21.829220s,5,80 D4 00 18 00,00 00 00 01 94,1.5152 MHz,-
1754,21.829225s,21.829261s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.5671 MHz,-
1755,21.829266s,21.829332s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5534 MHz,-
1756,21.834338s,21.834359s,5,80 D4 00 18 00,00 00 00 01 94,1.5580 MHz,-
1757,21.834365s,21.834400s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04,1.5826 MHz,-
1758,21.834406s,21.834507s,21,90 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.5656 MHz,-
1759,21.834513s,21.834533s,5,00 D4 00 18 40,00 00 00 01 00,1.5474 MHz,-
1760,21.834539s,21.834559s,5,00 D4 00 00 20,00 00 00 01 00,1.6097 MHz,-
1761,21.834565s,21.834585s,5,80 D4 00 00 00,00 00 00 01 81,1.5400 MHz,-
1762,21.834591s,21.834611s,5,00 D4 00 00 02,00 00 00 01 00,1.5889 MHz,-
1763,21.834617s,21.834637s,5,80 D4 00 00 00,00 00 00 01 A1,1.5671 MHz,-
1764,21.834643s,21.834663s,5,80 D4 00 18 00,00 00 00 01 04,1.5519 MHz,-
1765,21.834669s,21.834690s,5,00 D4 00 18 40,00 00 00 01 00,1.6097 MHz,-
1766,21.839695s,21.839716s,5,80 D4 00 18 00,00 00 00 01 44,1.5400 MHz,-
1767,21.839722s,21.839757s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5687 MHz,-
1768,21.839763s,21.840101s,68,3F D4 00 24 80 02 00 00 00 41 00 00 01 82 00 00 00 01 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 0B 93 89 B0 A1 40 A2 E1 DD 45 2E 71 5F 2F ED 0A DF B9 F4 0F A5 BF 92 03 17 49 7B 1E 2D E2 30 A1,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5580 MHz,-
1769,21.840106s,21.840126s,5,00 D4 00 24 29,00 00 00 01 00,1.6261 MHz,-
1770,21.845132s,21.845153s,5,80 D4 00 18 00,00 00 00 01 84,1.5565 MHz,-
1771,21.850158s,21.850179s,5,80 D4 00 18 00,00 00 00 01 84,1.5504 MHz,-
1772,21.850184s,21.850205s,5,00 D4 00 18 20,00 00 00 01 00,1.6360 MHz,-
1773,21.855210s,21.855231s,5,80 D4 00 18 00,00 00 00 01 94,1.5253 MHz,-
1774,21.855237s,21.855272s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,1.6344 MHz,-
1775,21.855278s,21.855344s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,1.5718 MHz,-
1776,21.860350s,21.860371s,5,80 D4 00 18 00,00 00 00 01 94,1.6113 MHz,-
1777,21.860376s,21.860412s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04,1.5550 MHz,-
1778,21.860417s,21.860478s,13,88 D4 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,1.6113 MHz,-
1779,21.860483s,21.860504s,5,00 D4 00 18 40,00 00 00 01 00,1.5718 MHz,-
1780,21.860509s,21.860529s,5,00 D4 00 00 20,00 00 00 01 00,1.6130 MHz,-
1781,21.860545s,21.860565s,5,80 D4 00 00 00,00 00 00 01 81,1.5445 MHz,-
1782,21.860571s,21.860591s,5,00 D4 00 00 02,00 00 00 01 00,1.5445 MHz,-
1783,21.860597s,21.860617s,5,80 D4 00 00 00,00 00 00 01 A1,1.5874 MHz,-
1784,21.860623s,21.860643s,5,80 D4 00 18 00,00 00 00 01 04,1.6377 MHz,-
1785,21.860649s,21.860670s,5,00 D4 00 18 40,00 00 00 01 00,1.5474 MHz,-
1786,21.865675s,21.865696s,5,80 D4 00 18 00,00 00 00 01 44,1.5969 MHz,-
1787,21.865702s,21.865737s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5874 MHz,-
1788,21.865743s,21.865870s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.6049 MHz,-
1789,21.870876s,21.870896s,5,80 D4 00 18 00,00 00 00 01 84,1.5889 MHz,-
1790,21.875902s,21.875922s,5,80 D4 00 18 00,00 00 00 01 84,1.5595 MHz,-
1791,21.875928s,21.875948s,5,00 D4 00 18 20,00 00 00 01 00,1.5702 MHz,-
1792,21.880954s,21.880974s,5,80 D4 00 18 00,00 00 00 01 94,1.6113 MHz,-
1793,21.880980s,21.881016s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.5671 MHz,-
1794,21.881022s,21.881088s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.6001 MHz,-
1795,21.886094s,21.886114s,5,80 D4 00 18 00,00 00 00 01 94,1.5641 MHz,-
1796,21.886120s,21.886156s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,1.5565 MHz,-
1797,21.886161s,21.886283s,25,94 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.5595 MHz,-
1798,21.886289s,21.886309s,5,00 D4 00 18 40,00 00 00 01 00,1.5780 MHz,-
1799,21.886315s,21.886335s,5,00 D4 00 00 20,00 00 00 01 00,1.5415 MHz,-
1800,21.886341s,21.886362s,5,80 D4 00 00 00,00 00 00 01 81,1.5921 MHz,-
1801,21.886368s,21.886388s,5,00 D4 00 00 02,00 00 00 01 00,1.5874 MHz,-
1802,21.886393s,21.886414s,5,80 D4 00 00 00,00 00 00 01 A1,1.5842 MHz,-
1803,21.886419s,21.886440s,5,80 D4 00 18 00,00 00 00 01 04,1.5610 MHz,-
1804,21.886445s,21.886466s,5,00 D4 00 18 40,00 00 00 01 00,1.5874 MHz,-
1805,21.891472s,21.891492s,5,80 D4 00 18 00,00 00 00 01 44,1.5858 MHz,-
1806,21.891498s,21.891533s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5580 MHz,-
1807,21.891539s,21.891666s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 92 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5969 MHz,-
1808,21.896672s,21.896693s,5,80 D4 00 18 00,00 00 00 01 84,1.5921 MHz,-
1809,21.901698s,21.901719s,5,80 D4 00 18 00,00 00 00 01 84,1.5519 MHz,-
1810,21.901725s,21.901745s,5,00 D4 00 18 20,00 00 00 01 00,1.5795 MHz,-
1811,21.906751s,21.906771s,5,80 D4 00 18 00,00 00 00 01 94,1.5370 MHz,-
1812,21.906777s,21.906813s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.5656 MHz,-
1813,21.906818s,21.906884s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5874 MHz,-
1814,21.911890s,21.911910s,5,80 D4 00 18 00,00 00 00 01 94,1.5687 MHz,-
1815,21.911916s,21.911952s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04,1.5969 MHz,-
1816,21.911957s,21.912059s,21,90 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.5702 MHz,-
1817,21.912065s,21.912085s,5,00 D4 00 18 40,00 00 00 01 00,1.5937 MHz,-
1818,21.912091s,21.912111s,5,00 D4 00 00 20,00 00 00 01 00,1.6097 MHz,-
1819,21.912117s,21.912137s,5,80 D4 00 00 00,00 00 00 01 81,1.5580 MHz,-
1820,21.912143s,21.912163s,5,00 D4 00 00 02,00 00 00 01 00,1.5565 MHz,-
1821,21.912169s,21.912189s,5,80 D4 00 00 00,00 00 00 01 A1,1.6049 MHz,-
1822,21.912194s,21.912215s,5,80 D4 00 18 00,00 00 00 01 04,1.5687 MHz,-
1823,21.912220s,21.912241s,5,00 D4 00 18 40,00 00 00 01 00,1.5445 MHz,-
1824,21.917247s,21.917267s,5,80 D4 00 18 00,00 00 00 01 44,1.5504 MHz,-
1825,21.917273s,21.917308s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5595 MHz,-
1826,21.917314s,21.917596s,57,34 D4 00 24 80 02 00 00 00 35 00 00 01 82 00 00 00 00 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 04 90 69 CA 78 E7 45 0A 28 51 73 43 1B 3E 52 C5 C2 52 99 E4 73,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5795 MHz,-
1827,21.922602s,21.922622s,5,80 D4 00 18 00,00 00 00 01 84,1.6113 MHz,-
1828,21.927628s,21.927648s,5,80 D4 00 18 00,00 00 00 01 84,1.5445 MHz,-
1829,21.927654s,21.927674s,5,00 D4 00 18 20,00 00 00 01 00,1.5595 MHz,-
1830,21.932680s,21.932700s,5,80 D4 00 18 00,00 00 00 01 94,1.5312 MHz,-
1831,21.932706s,21.932742s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,1.5687 MHz,-
1832,21.932747s,21.932813s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,1.5565 MHz,-
1833,21.937819s,21.937840s,5,80 D4 00 18 00,00 00 00 01 94,1.5780 MHz,-
1834,21.937846s,21.937881s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04,1.5795 MHz,-
1835,21.937887s,21.937947s,13,88 D4 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,1.5400 MHz,-
1836,21.937953s,21.937973s,5,00 D4 00 18 40,00 00 00 01 00,1.5937 MHz,-
1837,21.937979s,21.937999s,5,00 D4 00 00 20,00 00 00 01 00,1.5687 MHz,-
1838,21.938005s,21.938026s,5,80 D4 00 00 00,00 00 00 01 81,1.5858 MHz,-
1839,21.938031s,21.938052s,5,00 D4 00 00 02,00 00 00 01 00,1.5733 MHz,-
1840,21.938057s,21.938078s,5,80 D4 00 00 00,00 00 00 01 A1,1.5764 MHz,-
1841,21.938083s,21.938104s,5,80 D4 00 18 00,00 00 00 01 04,1.5489 MHz,-
1842,21.938109s,21.938130s,5,00 D4 00 18 40,00 00 00 01 00,1.6049 MHz,-
1843,21.943136s,21.943156s,5,80 D4 00 18 00,00 00 00 01 44,1.5504 MHz,-
1844,21.943162s,21.943198s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.6113 MHz,-
1845,21.943203s,21.943330s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5445 MHz,-
1846,21.948336s,21.948356s,5,80 D4 00 18 00,00 00 00 01 84,1.5780 MHz,-
1847,21.953362s,21.953383s,5,80 D4 00 18 00,00 00 00 01 84,1.5415 MHz,-
1848,21.953388s,21.953409s,5,00 D4 00 18 20,00 00 00 01 00,1.5626 MHz,-
1849,21.958415s,21.958435s,5,80 D4 00 18 00,00 00 00 01 94,1.5224 MHz,-
1850,21.958441s,21.958476s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.5550 MHz,-
1851,21.958482s,21.958548s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.5580 MHz,-
1852,21.963554s,21.963574s,5,80 D4 00 18 00,00 00 00 01 94,1.6294 MHz,-
1853,21.963580s,21.963615s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,1.5858 MHz,-
1854,21.963621s,21.963743s,25,94 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.5780 MHz,-
1855,21.963749s,21.963769s,5,00 D4 00 18 40,00 00 00 01 00,1.5565 MHz,-
1856,21.963775s,21.963795s,5,00 D4 00 00 20,00 00 00 01 00,1.5826 MHz,-
1857,21.963801s,21.963822s,5,80 D4 00 00 00,00 00 00 01 81,1.5702 MHz,-
1858,21.963827s,21.963848s,5,00 D4 00 00 02,00 00 00 01 00,1.5826 MHz,-
1859,21.963853s,21.963874s,5,80 D4 00 00 00,00 00 00 01 A1,1.5565 MHz,-
1860,21.963879s,21.963900s,5,80 D4 00 18 00,00 00 00 01 44,1.5687 MHz,-
1861,21.963905s,21.963941s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.6017 MHz,-
1862,21.963947s,21.964074s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5905 MHz,-
1863,21.969079s,21.969100s,5,80 D4 00 18 00,00 00 00 01 84,1.5415 MHz,-
1864,21.974106s,21.974127s,5,80 D4 00 18 00,00 00 00 01 84,1.5671 MHz,-
1865,21.974132s,21.974153s,5,00 D4 00 18 20,00 00 00 01 00,1.5733 MHz,-
1866,21.979159s,21.979179s,5,80 D4 00 18 00,00 00 00 01 94,1.5656 MHz,-
1867,21.979185s,21.979220s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.5610 MHz,-
1868,21.979226s,21.979292s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5905 MHz,-
1869,21.984298s,21.984318s,5,80 D4 00 18 00,00 00 00 01 94,1.5580 MHz,-
1870,21.984324s,21.984359s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04,1.5889 MHz,-
1871,21.984365s,21.984467s,21,90 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.5656 MHz,-
1872,21.984473s,21.984493s,5,00 D4 00 18 40,00 00 00 01 00,1.5671 MHz,-
1873,21.984499s,21.984519s,5,00 D4 00 00 20,00 00 00 01 00,1.6065 MHz,-
1874,21.984525s,21.984545s,5,80 D4 00 00 00,00 00 00 01 81,1.5858 MHz,-
1875,21.984551s,21.984571s,5,00 D4 00 00 02,00 00 00 01 00,1.5656 MHz,-
1876,21.984576s,21.984597s,5,80 D4 00 00 00,00 00 00 01 A1,1.5656 MHz,-
1877,21.984603s,21.984623s,5,80 D4 00 18 00,00 00 00 01 04,1.5795 MHz,-
1878,21.984629s,21.984649s,5,00 D4 00 18 40,00 00 00 01 00,1.5702 MHz,-
1879,21.989655s,21.989676s,5,80 D4 00 18 00,00 00 00 01 44,1.5341 MHz,-
